,image,label
738,F:\BaiDuData\data\Imgae\Road02\Record002\Camera 5\170927_064013850_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road02\Label\Record002\Camera 5\170927_064013850_Camera_5_bin.png
14407,F:\BaiDuData\data\Imgae\Road04\Record001\Camera 6\171206_054008447_Camera_6.jpg,F:\BaiDuData\data\Label\Label_road04\Label\Record001\Camera 6\171206_054008447_Camera_6_bin.png
6857,F:\BaiDuData\data\Imgae\Road03\Record003\Camera 5\171206_030015725_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road03\Label\Record003\Camera 5\171206_030015725_Camera_5_bin.png
16847,F:\BaiDuData\data\Imgae\Road04\Record003\Camera 5\171206_054524192_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road04\Label\Record003\Camera 5\171206_054524192_Camera_5_bin.png
6596,F:\BaiDuData\data\Imgae\Road03\Record002\Camera 6\171206_025926104_Camera_6.jpg,F:\BaiDuData\data\Label\Label_road03\Label\Record002\Camera 6\171206_025926104_Camera_6_bin.png
17587,F:\BaiDuData\data\Imgae\Road04\Record003\Camera 6\171206_054521965_Camera_6.jpg,F:\BaiDuData\data\Label\Label_road04\Label\Record003\Camera 6\171206_054521965_Camera_6_bin.png
19147,F:\BaiDuData\data\Imgae\Road04\Record006\Camera 5\171206_054852927_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road04\Label\Record006\Camera 5\171206_054852927_Camera_5_bin.png
2394,F:\BaiDuData\data\Imgae\Road02\Record004\Camera 6\170927_064209075_Camera_6.jpg,F:\BaiDuData\data\Label\Label_road02\Label\Record004\Camera 6\170927_064209075_Camera_6_bin.png
10826,F:\BaiDuData\data\Imgae\Road03\Record008\Camera 5\171206_030645132_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road03\Label\Record008\Camera 5\171206_030645132_Camera_5_bin.png
15866,F:\BaiDuData\data\Imgae\Road04\Record002\Camera 6\171206_054241669_Camera_6.jpg,F:\BaiDuData\data\Label\Label_road04\Label\Record002\Camera 6\171206_054241669_Camera_6_bin.png
20506,F:\BaiDuData\data\Imgae\Road04\Record006\Camera 6\171206_054933157_Camera_6.jpg,F:\BaiDuData\data\Label\Label_road04\Label\Record006\Camera 6\171206_054933157_Camera_6_bin.png
9694,F:\BaiDuData\data\Imgae\Road03\Record006\Camera 6\171206_030323580_Camera_6.jpg,F:\BaiDuData\data\Label\Label_road03\Label\Record006\Camera 6\171206_030323580_Camera_6_bin.png
12645,F:\BaiDuData\data\Imgae\Road03\Record008\Camera 6\171206_030752873_Camera_6.jpg,F:\BaiDuData\data\Label\Label_road03\Label\Record008\Camera 6\171206_030752873_Camera_6_bin.png
2206,F:\BaiDuData\data\Imgae\Road02\Record004\Camera 5\170927_064316538_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road02\Label\Record004\Camera 5\170927_064316538_Camera_5_bin.png
15104,F:\BaiDuData\data\Imgae\Road04\Record001\Camera 6\171206_054136873_Camera_6.jpg,F:\BaiDuData\data\Label\Label_road04\Label\Record001\Camera 6\171206_054136873_Camera_6_bin.png
10950,F:\BaiDuData\data\Imgae\Road03\Record008\Camera 5\171206_030712914_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road03\Label\Record008\Camera 5\171206_030712914_Camera_5_bin.png
2378,F:\BaiDuData\data\Imgae\Road02\Record004\Camera 6\170927_064207091_Camera_6.jpg,F:\BaiDuData\data\Label\Label_road02\Label\Record004\Camera 6\170927_064207091_Camera_6_bin.png
20766,F:\BaiDuData\data\Imgae\Road04\Record006\Camera 6\171206_055014710_Camera_6.jpg,F:\BaiDuData\data\Label\Label_road04\Label\Record006\Camera 6\171206_055014710_Camera_6_bin.png
19754,F:\BaiDuData\data\Imgae\Road04\Record006\Camera 5\171206_055019112_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road04\Label\Record006\Camera 5\171206_055019112_Camera_5_bin.png
2707,F:\BaiDuData\data\Imgae\Road02\Record004\Camera 6\170927_064252845_Camera_6.jpg,F:\BaiDuData\data\Label\Label_road02\Label\Record004\Camera 6\170927_064252845_Camera_6_bin.png
7129,F:\BaiDuData\data\Imgae\Road03\Record003\Camera 5\171206_030051557_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road03\Label\Record003\Camera 5\171206_030051557_Camera_5_bin.png
17542,F:\BaiDuData\data\Imgae\Road04\Record003\Camera 6\171206_054516071_Camera_6.jpg,F:\BaiDuData\data\Label\Label_road04\Label\Record003\Camera 6\171206_054516071_Camera_6_bin.png
1401,F:\BaiDuData\data\Imgae\Road02\Record003\Camera 6\170927_064040456_Camera_6.jpg,F:\BaiDuData\data\Label\Label_road02\Label\Record003\Camera 6\170927_064040456_Camera_6_bin.png
1339,F:\BaiDuData\data\Imgae\Road02\Record003\Camera 5\170927_064112626_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road02\Label\Record003\Camera 5\170927_064112626_Camera_5_bin.png
2089,F:\BaiDuData\data\Imgae\Road02\Record004\Camera 5\170927_064253981_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road02\Label\Record004\Camera 5\170927_064253981_Camera_5_bin.png
3117,F:\BaiDuData\data\Imgae\Road02\Record005\Camera 5\170927_064400217_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road02\Label\Record005\Camera 5\170927_064400217_Camera_5_bin.png
7234,F:\BaiDuData\data\Imgae\Road03\Record003\Camera 5\171206_030103151_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road03\Label\Record003\Camera 5\171206_030103151_Camera_5_bin.png
6316,F:\BaiDuData\data\Imgae\Road03\Record002\Camera 5\171206_025938408_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road03\Label\Record002\Camera 5\171206_025938408_Camera_5_bin.png
21146,F:\BaiDuData\data\Imgae\Road04\Record007\Camera 5\171206_055128864_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road04\Label\Record007\Camera 5\171206_055128864_Camera_5_bin.png
5358,F:\BaiDuData\data\Imgae\Road02\Record007\Camera 6\170927_064650808_Camera_6.jpg,F:\BaiDuData\data\Label\Label_road02\Label\Record007\Camera 6\170927_064650808_Camera_6_bin.png
3921,F:\BaiDuData\data\Imgae\Road02\Record006\Camera 5\170927_064520391_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road02\Label\Record006\Camera 5\170927_064520391_Camera_5_bin.png
21864,F:\BaiDuData\data\Imgae\Road04\Record007\Camera 6\171206_055206485_Camera_6.jpg,F:\BaiDuData\data\Label\Label_road04\Label\Record007\Camera 6\171206_055206485_Camera_6_bin.png
16015,F:\BaiDuData\data\Imgae\Road04\Record002\Camera 6\171206_054259697_Camera_6.jpg,F:\BaiDuData\data\Label\Label_road04\Label\Record002\Camera 6\171206_054259697_Camera_6_bin.png
13743,F:\BaiDuData\data\Imgae\Road04\Record001\Camera 5\171206_054048479_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road04\Label\Record001\Camera 5\171206_054048479_Camera_5_bin.png
18974,F:\BaiDuData\data\Imgae\Road04\Record006\Camera 5\171206_054827062_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road04\Label\Record006\Camera 5\171206_054827062_Camera_5_bin.png
21458,F:\BaiDuData\data\Imgae\Road04\Record007\Camera 5\171206_055212376_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road04\Label\Record007\Camera 5\171206_055212376_Camera_5_bin.png
20220,F:\BaiDuData\data\Imgae\Road04\Record006\Camera 6\171206_054856587_Camera_6.jpg,F:\BaiDuData\data\Label\Label_road04\Label\Record006\Camera 6\171206_054856587_Camera_6_bin.png
1373,F:\BaiDuData\data\Imgae\Road02\Record003\Camera 6\170927_064036468_Camera_6.jpg,F:\BaiDuData\data\Label\Label_road02\Label\Record003\Camera 6\170927_064036468_Camera_6_bin.png
15197,F:\BaiDuData\data\Imgae\Road04\Record001\Camera 6\171206_054147329_Camera_6.jpg,F:\BaiDuData\data\Label\Label_road04\Label\Record001\Camera 6\171206_054147329_Camera_6_bin.png
12677,F:\BaiDuData\data\Imgae\Road03\Record008\Camera 6\171206_030756521_Camera_6.jpg,F:\BaiDuData\data\Label\Label_road03\Label\Record008\Camera 6\171206_030756521_Camera_6_bin.png
166,F:\BaiDuData\data\Imgae\Road02\Record001\Camera 5\170927_063840638_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road02\Label\Record001\Camera 5\170927_063840638_Camera_5_bin.png
245,F:\BaiDuData\data\Imgae\Road02\Record001\Camera 6\170927_063817476_Camera_6.jpg,F:\BaiDuData\data\Label\Label_road02\Label\Record001\Camera 6\170927_063817476_Camera_6_bin.png
5899,F:\BaiDuData\data\Imgae\Road03\Record001\Camera 6\171206_025803324_Camera_6.jpg,F:\BaiDuData\data\Label\Label_road03\Label\Record001\Camera 6\171206_025803324_Camera_6_bin.png
18922,F:\BaiDuData\data\Imgae\Road04\Record005\Camera 6\171206_054749624_Camera_6.jpg,F:\BaiDuData\data\Label\Label_road04\Label\Record005\Camera 6\171206_054749624_Camera_6_bin.png
7168,F:\BaiDuData\data\Imgae\Road03\Record003\Camera 5\171206_030056197_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road03\Label\Record003\Camera 5\171206_030056197_Camera_5_bin.png
12700,F:\BaiDuData\data\Imgae\Road03\Record008\Camera 6\171206_030759143_Camera_6.jpg,F:\BaiDuData\data\Label\Label_road03\Label\Record008\Camera 6\171206_030759143_Camera_6_bin.png
19424,F:\BaiDuData\data\Imgae\Road04\Record006\Camera 5\171206_054928399_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road04\Label\Record006\Camera 5\171206_054928399_Camera_5_bin.png
4937,F:\BaiDuData\data\Imgae\Road02\Record007\Camera 6\170927_064545680_Camera_6.jpg,F:\BaiDuData\data\Label\Label_road02\Label\Record007\Camera 6\170927_064545680_Camera_6_bin.png
17983,F:\BaiDuData\data\Imgae\Road04\Record004\Camera 5\171206_054641294_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road04\Label\Record004\Camera 5\171206_054641294_Camera_5_bin.png
2803,F:\BaiDuData\data\Imgae\Road02\Record004\Camera 6\170927_064307090_Camera_6.jpg,F:\BaiDuData\data\Label\Label_road02\Label\Record004\Camera 6\170927_064307090_Camera_6_bin.png
13378,F:\BaiDuData\data\Imgae\Road04\Record001\Camera 5\171206_054011616_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road04\Label\Record001\Camera 5\171206_054011616_Camera_5_bin.png
4792,F:\BaiDuData\data\Imgae\Road02\Record007\Camera 5\170927_064706452_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road02\Label\Record007\Camera 5\170927_064706452_Camera_5_bin.png
18161,F:\BaiDuData\data\Imgae\Road04\Record004\Camera 6\171206_054627935_Camera_6.jpg,F:\BaiDuData\data\Label\Label_road04\Label\Record004\Camera 6\171206_054627935_Camera_6_bin.png
14278,F:\BaiDuData\data\Imgae\Road04\Record001\Camera 5\171206_054203076_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road04\Label\Record001\Camera 5\171206_054203076_Camera_5_bin.png
7976,F:\BaiDuData\data\Imgae\Road03\Record003\Camera 6\171206_030052628_Camera_6.jpg,F:\BaiDuData\data\Label\Label_road03\Label\Record003\Camera 6\171206_030052628_Camera_6_bin.png
21126,F:\BaiDuData\data\Imgae\Road04\Record007\Camera 5\171206_055125844_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road04\Label\Record007\Camera 5\171206_055125844_Camera_5_bin.png
586,F:\BaiDuData\data\Imgae\Road02\Record002\Camera 5\170927_063952976_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road02\Label\Record002\Camera 5\170927_063952976_Camera_5_bin.png
13611,F:\BaiDuData\data\Imgae\Road04\Record001\Camera 5\171206_054035148_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road04\Label\Record001\Camera 5\171206_054035148_Camera_5_bin.png
20846,F:\BaiDuData\data\Imgae\Road04\Record006\Camera 6\171206_055026070_Camera_6.jpg,F:\BaiDuData\data\Label\Label_road04\Label\Record006\Camera 6\171206_055026070_Camera_6_bin.png
14715,F:\BaiDuData\data\Imgae\Road04\Record001\Camera 6\171206_054039793_Camera_6.jpg,F:\BaiDuData\data\Label\Label_road04\Label\Record001\Camera 6\171206_054039793_Camera_6_bin.png
6082,F:\BaiDuData\data\Imgae\Road03\Record002\Camera 5\171206_025909320_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road03\Label\Record002\Camera 5\171206_025909320_Camera_5_bin.png
4112,F:\BaiDuData\data\Imgae\Road02\Record006\Camera 6\170927_064506432_Camera_6.jpg,F:\BaiDuData\data\Label\Label_road02\Label\Record006\Camera 6\170927_064506432_Camera_6_bin.png
8830,F:\BaiDuData\data\Imgae\Road03\Record006\Camera 5\171206_030320728_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road03\Label\Record006\Camera 5\171206_030320728_Camera_5_bin.png
13454,F:\BaiDuData\data\Imgae\Road04\Record001\Camera 5\171206_054019291_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road04\Label\Record001\Camera 5\171206_054019291_Camera_5_bin.png
9753,F:\BaiDuData\data\Imgae\Road03\Record006\Camera 6\171206_030330556_Camera_6.jpg,F:\BaiDuData\data\Label\Label_road03\Label\Record006\Camera 6\171206_030330556_Camera_6_bin.png
16466,F:\BaiDuData\data\Imgae\Road04\Record003\Camera 5\171206_054415786_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road04\Label\Record003\Camera 5\171206_054415786_Camera_5_bin.png
19481,F:\BaiDuData\data\Imgae\Road04\Record006\Camera 5\171206_054935433_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road04\Label\Record006\Camera 5\171206_054935433_Camera_5_bin.png
3572,F:\BaiDuData\data\Imgae\Road02\Record005\Camera 6\170927_064412049_Camera_6.jpg,F:\BaiDuData\data\Label\Label_road02\Label\Record005\Camera 6\170927_064412049_Camera_6_bin.png
17861,F:\BaiDuData\data\Imgae\Road04\Record004\Camera 5\171206_054623519_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road04\Label\Record004\Camera 5\171206_054623519_Camera_5_bin.png
13382,F:\BaiDuData\data\Imgae\Road04\Record001\Camera 5\171206_054012020_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road04\Label\Record001\Camera 5\171206_054012020_Camera_5_bin.png
15057,F:\BaiDuData\data\Imgae\Road04\Record001\Camera 6\171206_054130810_Camera_6.jpg,F:\BaiDuData\data\Label\Label_road04\Label\Record001\Camera 6\171206_054130810_Camera_6_bin.png
20677,F:\BaiDuData\data\Imgae\Road04\Record006\Camera 6\171206_055001913_Camera_6.jpg,F:\BaiDuData\data\Label\Label_road04\Label\Record006\Camera 6\171206_055001913_Camera_6_bin.png
17142,F:\BaiDuData\data\Imgae\Road04\Record003\Camera 6\171206_054406633_Camera_6.jpg,F:\BaiDuData\data\Label\Label_road04\Label\Record003\Camera 6\171206_054406633_Camera_6_bin.png
20530,F:\BaiDuData\data\Imgae\Road04\Record006\Camera 6\171206_054936285_Camera_6.jpg,F:\BaiDuData\data\Label\Label_road04\Label\Record006\Camera 6\171206_054936285_Camera_6_bin.png
16433,F:\BaiDuData\data\Imgae\Road04\Record003\Camera 5\171206_054412057_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road04\Label\Record003\Camera 5\171206_054412057_Camera_5_bin.png
10255,F:\BaiDuData\data\Imgae\Road03\Record006\Camera 6\171206_030439966_Camera_6.jpg,F:\BaiDuData\data\Label\Label_road03\Label\Record006\Camera 6\171206_030439966_Camera_6_bin.png
9110,F:\BaiDuData\data\Imgae\Road03\Record006\Camera 5\171206_030353427_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road03\Label\Record006\Camera 5\171206_030353427_Camera_5_bin.png
3288,F:\BaiDuData\data\Imgae\Road02\Record005\Camera 6\170927_064332946_Camera_6.jpg,F:\BaiDuData\data\Label\Label_road02\Label\Record005\Camera 6\170927_064332946_Camera_6_bin.png
4163,F:\BaiDuData\data\Imgae\Road02\Record006\Camera 6\170927_064512705_Camera_6.jpg,F:\BaiDuData\data\Label\Label_road02\Label\Record006\Camera 6\170927_064512705_Camera_6_bin.png
9426,F:\BaiDuData\data\Imgae\Road03\Record006\Camera 5\171206_030441892_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road03\Label\Record006\Camera 5\171206_030441892_Camera_5_bin.png
11026,F:\BaiDuData\data\Imgae\Road03\Record008\Camera 5\171206_030721578_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road03\Label\Record008\Camera 5\171206_030721578_Camera_5_bin.png
17250,F:\BaiDuData\data\Imgae\Road04\Record003\Camera 6\171206_054418837_Camera_6.jpg,F:\BaiDuData\data\Label\Label_road04\Label\Record003\Camera 6\171206_054418837_Camera_6_bin.png
6357,F:\BaiDuData\data\Imgae\Road03\Record002\Camera 6\171206_025852359_Camera_6.jpg,F:\BaiDuData\data\Label\Label_road03\Label\Record002\Camera 6\171206_025852359_Camera_6_bin.png
6035,F:\BaiDuData\data\Imgae\Road03\Record002\Camera 5\171206_025902975_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road03\Label\Record002\Camera 5\171206_025902975_Camera_5_bin.png
4943,F:\BaiDuData\data\Imgae\Road02\Record007\Camera 6\170927_064546652_Camera_6.jpg,F:\BaiDuData\data\Label\Label_road02\Label\Record007\Camera 6\170927_064546652_Camera_6_bin.png
19187,F:\BaiDuData\data\Imgae\Road04\Record006\Camera 5\171206_054857806_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road04\Label\Record006\Camera 5\171206_054857806_Camera_5_bin.png
15695,F:\BaiDuData\data\Imgae\Road04\Record002\Camera 5\171206_054314477_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road04\Label\Record002\Camera 5\171206_054314477_Camera_5_bin.png
17470,F:\BaiDuData\data\Imgae\Road04\Record003\Camera 6\171206_054505239_Camera_6.jpg,F:\BaiDuData\data\Label\Label_road04\Label\Record003\Camera 6\171206_054505239_Camera_6_bin.png
6088,F:\BaiDuData\data\Imgae\Road03\Record002\Camera 5\171206_025910130_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road03\Label\Record002\Camera 5\171206_025910130_Camera_5_bin.png
3001,F:\BaiDuData\data\Imgae\Road02\Record005\Camera 5\170927_064344442_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road02\Label\Record005\Camera 5\170927_064344442_Camera_5_bin.png
13238,F:\BaiDuData\data\Imgae\Road04\Record001\Camera 5\171206_053953292_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road04\Label\Record001\Camera 5\171206_053953292_Camera_5_bin.png
11982,F:\BaiDuData\data\Imgae\Road03\Record008\Camera 6\171206_030613862_Camera_6.jpg,F:\BaiDuData\data\Label\Label_road03\Label\Record008\Camera 6\171206_030613862_Camera_6_bin.png
3038,F:\BaiDuData\data\Imgae\Road02\Record005\Camera 5\170927_064349473_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road02\Label\Record005\Camera 5\170927_064349473_Camera_5_bin.png
8660,F:\BaiDuData\data\Imgae\Road03\Record004\Camera 6\171206_030218416_Camera_6.jpg,F:\BaiDuData\data\Label\Label_road03\Label\Record004\Camera 6\171206_030218416_Camera_6_bin.png
2722,F:\BaiDuData\data\Imgae\Road02\Record004\Camera 6\170927_064254845_Camera_6.jpg,F:\BaiDuData\data\Label\Label_road02\Label\Record004\Camera 6\170927_064254845_Camera_6_bin.png
6666,F:\BaiDuData\data\Imgae\Road03\Record002\Camera 6\171206_025934154_Camera_6.jpg,F:\BaiDuData\data\Label\Label_road03\Label\Record002\Camera 6\171206_025934154_Camera_6_bin.png
9242,F:\BaiDuData\data\Imgae\Road03\Record006\Camera 5\171206_030410900_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road03\Label\Record006\Camera 5\171206_030410900_Camera_5_bin.png
2155,F:\BaiDuData\data\Imgae\Road02\Record004\Camera 5\170927_064303484_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road02\Label\Record004\Camera 5\170927_064303484_Camera_5_bin.png
11218,F:\BaiDuData\data\Imgae\Road03\Record008\Camera 5\171206_030747778_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road03\Label\Record008\Camera 5\171206_030747778_Camera_5_bin.png
20934,F:\BaiDuData\data\Imgae\Road04\Record006\Camera 6\171206_055037385_Camera_6.jpg,F:\BaiDuData\data\Label\Label_road04\Label\Record006\Camera 6\171206_055037385_Camera_6_bin.png
21852,F:\BaiDuData\data\Imgae\Road04\Record007\Camera 6\171206_055204913_Camera_6.jpg,F:\BaiDuData\data\Label\Label_road04\Label\Record007\Camera 6\171206_055204913_Camera_6_bin.png
19961,F:\BaiDuData\data\Imgae\Road04\Record006\Camera 5\171206_055046445_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road04\Label\Record006\Camera 5\171206_055046445_Camera_5_bin.png
390,F:\BaiDuData\data\Imgae\Road02\Record001\Camera 6\170927_063840638_Camera_6.jpg,F:\BaiDuData\data\Label\Label_road02\Label\Record001\Camera 6\170927_063840638_Camera_6_bin.png
9517,F:\BaiDuData\data\Imgae\Road03\Record006\Camera 5\171206_030501949_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road03\Label\Record006\Camera 5\171206_030501949_Camera_5_bin.png
14822,F:\BaiDuData\data\Imgae\Road04\Record001\Camera 6\171206_054050600_Camera_6.jpg,F:\BaiDuData\data\Label\Label_road04\Label\Record001\Camera 6\171206_054050600_Camera_6_bin.png
3035,F:\BaiDuData\data\Imgae\Road02\Record005\Camera 5\170927_064349065_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road02\Label\Record005\Camera 5\170927_064349065_Camera_5_bin.png
2082,F:\BaiDuData\data\Imgae\Road02\Record004\Camera 5\170927_064253093_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road02\Label\Record004\Camera 5\170927_064253093_Camera_5_bin.png
1102,F:\BaiDuData\data\Imgae\Road02\Record003\Camera 5\170927_064040718_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road02\Label\Record003\Camera 5\170927_064040718_Camera_5_bin.png
20371,F:\BaiDuData\data\Imgae\Road04\Record006\Camera 6\171206_054916688_Camera_6.jpg,F:\BaiDuData\data\Label\Label_road04\Label\Record006\Camera 6\171206_054916688_Camera_6_bin.png
7242,F:\BaiDuData\data\Imgae\Road03\Record003\Camera 5\171206_030103943_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road03\Label\Record003\Camera 5\171206_030103943_Camera_5_bin.png
6673,F:\BaiDuData\data\Imgae\Road03\Record002\Camera 6\171206_025934959_Camera_6.jpg,F:\BaiDuData\data\Label\Label_road03\Label\Record002\Camera 6\171206_025934959_Camera_6_bin.png
20850,F:\BaiDuData\data\Imgae\Road04\Record006\Camera 6\171206_055026638_Camera_6.jpg,F:\BaiDuData\data\Label\Label_road04\Label\Record006\Camera 6\171206_055026638_Camera_6_bin.png
18036,F:\BaiDuData\data\Imgae\Road04\Record004\Camera 6\171206_054610166_Camera_6.jpg,F:\BaiDuData\data\Label\Label_road04\Label\Record004\Camera 6\171206_054610166_Camera_6_bin.png
19846,F:\BaiDuData\data\Imgae\Road04\Record006\Camera 5\171206_055031895_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road04\Label\Record006\Camera 5\171206_055031895_Camera_5_bin.png
20403,F:\BaiDuData\data\Imgae\Road04\Record006\Camera 6\171206_054920591_Camera_6.jpg,F:\BaiDuData\data\Label\Label_road04\Label\Record006\Camera 6\171206_054920591_Camera_6_bin.png
9430,F:\BaiDuData\data\Imgae\Road03\Record006\Camera 5\171206_030442761_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road03\Label\Record006\Camera 5\171206_030442761_Camera_5_bin.png
16857,F:\BaiDuData\data\Imgae\Road04\Record003\Camera 5\171206_054525502_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road04\Label\Record003\Camera 5\171206_054525502_Camera_5_bin.png
5715,F:\BaiDuData\data\Imgae\Road03\Record001\Camera 5\171206_025803888_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road03\Label\Record001\Camera 5\171206_025803888_Camera_5_bin.png
1829,F:\BaiDuData\data\Imgae\Road02\Record004\Camera 5\170927_064216942_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road02\Label\Record004\Camera 5\170927_064216942_Camera_5_bin.png
13453,F:\BaiDuData\data\Imgae\Road04\Record001\Camera 5\171206_054019190_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road04\Label\Record001\Camera 5\171206_054019190_Camera_5_bin.png
1491,F:\BaiDuData\data\Imgae\Road02\Record003\Camera 6\170927_064052246_Camera_6.jpg,F:\BaiDuData\data\Label\Label_road02\Label\Record003\Camera 6\170927_064052246_Camera_6_bin.png
12210,F:\BaiDuData\data\Imgae\Road03\Record008\Camera 6\171206_030645365_Camera_6.jpg,F:\BaiDuData\data\Label\Label_road03\Label\Record008\Camera 6\171206_030645365_Camera_6_bin.png
16634,F:\BaiDuData\data\Imgae\Road04\Record003\Camera 5\171206_054435829_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road04\Label\Record003\Camera 5\171206_054435829_Camera_5_bin.png
20107,F:\BaiDuData\data\Imgae\Road04\Record006\Camera 6\171206_054841481_Camera_6.jpg,F:\BaiDuData\data\Label\Label_road04\Label\Record006\Camera 6\171206_054841481_Camera_6_bin.png
8148,F:\BaiDuData\data\Imgae\Road03\Record003\Camera 6\171206_030110675_Camera_6.jpg,F:\BaiDuData\data\Label\Label_road03\Label\Record003\Camera 6\171206_030110675_Camera_6_bin.png
10827,F:\BaiDuData\data\Imgae\Road03\Record008\Camera 5\171206_030645365_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road03\Label\Record008\Camera 5\171206_030645365_Camera_5_bin.png
19150,F:\BaiDuData\data\Imgae\Road04\Record006\Camera 5\171206_054853293_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road04\Label\Record006\Camera 5\171206_054853293_Camera_5_bin.png
13111,F:\BaiDuData\data\Imgae\Road03\Record008\Camera 6\171206_030855470_Camera_6.jpg,F:\BaiDuData\data\Label\Label_road03\Label\Record008\Camera 6\171206_030855470_Camera_6_bin.png
10172,F:\BaiDuData\data\Imgae\Road03\Record006\Camera 6\171206_030426557_Camera_6.jpg,F:\BaiDuData\data\Label\Label_road03\Label\Record006\Camera 6\171206_030426557_Camera_6_bin.png
4799,F:\BaiDuData\data\Imgae\Road02\Record007\Camera 5\170927_064707495_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road02\Label\Record007\Camera 5\170927_064707495_Camera_5_bin.png
759,F:\BaiDuData\data\Imgae\Road02\Record002\Camera 6\170927_063935711_Camera_6.jpg,F:\BaiDuData\data\Label\Label_road02\Label\Record002\Camera 6\170927_063935711_Camera_6_bin.png
4231,F:\BaiDuData\data\Imgae\Road02\Record006\Camera 6\170927_064521931_Camera_6.jpg,F:\BaiDuData\data\Label\Label_road02\Label\Record006\Camera 6\170927_064521931_Camera_6_bin.png
9392,F:\BaiDuData\data\Imgae\Road03\Record006\Camera 5\171206_030436666_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road03\Label\Record006\Camera 5\171206_030436666_Camera_5_bin.png
3861,F:\BaiDuData\data\Imgae\Road02\Record006\Camera 5\170927_064512705_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road02\Label\Record006\Camera 5\170927_064512705_Camera_5_bin.png
19337,F:\BaiDuData\data\Imgae\Road04\Record006\Camera 5\171206_054917786_Camera_5.jpg,F:\BaiDuData\data\Label\Label_road04\Label\Record006\Camera 5\171206_054917786_Camera_5_bin.png
